Location,Date,Morning Forecast,Afternoon Forecast,Night Forecast,Summary Forecast,Summary When,Min Temperature (°C),Max Temperature (°C),Energy Output
Yan,2024-07-07,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
Yan,2024-07-06,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
Yan,2024-07-05,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
Yan,2024-07-04,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
Yan,2024-07-03,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
Yan,2024-07-02,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
Pendang,2024-07-08,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,37.0
Pendang,2024-07-07,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,37.0
Pendang,2024-07-06,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,37.0
Pendang,2024-07-05,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,37.0
Pendang,2024-07-04,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,26,34,37.0
Pendang,2024-07-03,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,26,34,37.0
Pendang,2024-07-02,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,26,34,37.0
Kuala Muda,2024-07-08,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,33,56.5
Kuala Muda,2024-07-07,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,33,56.5
Kuala Muda,2024-07-06,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,33,56.5
Kuala Muda,2024-07-05,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,33,56.5
Kuala Muda,2024-07-04,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
Kuala Muda,2024-07-03,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
Kuala Muda,2024-07-02,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
Sik,2024-07-08,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,25,34,37.0
Sik,2024-07-07,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,25,34,37.0
Sik,2024-07-06,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,25,34,37.0
Sik,2024-07-05,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,25,34,37.0
Sik,2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,25,34,37.0
Sik,2024-07-03,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,25,34,37.0
Sik,2024-07-02,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,25,34,37.0
Barat Daya,2024-07-08,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,27,33,56.5
Barat Daya,2024-07-07,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,27,33,56.5
Barat Daya,2024-07-06,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,27,33,56.5
Barat Daya,2024-07-05,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,27,33,56.5
Barat Daya,2024-07-04,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,27,33,56.5
Barat Daya,2024-07-03,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,27,33,56.5
Barat Daya,2024-07-02,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,27,33,56.5
Timur Laut,2024-07-08,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
Timur Laut,2024-07-07,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
Timur Laut,2024-07-06,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
Timur Laut,2024-07-05,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
Timur Laut,2024-07-04,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
Timur Laut,2024-07-03,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
Timur Laut,2024-07-02,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
Seberang Perai Utara,2024-07-08,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,34,57.0
Seberang Perai Utara,2024-07-07,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,34,57.0
Seberang Perai Utara,2024-07-06,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,34,57.0
Seberang Perai Utara,2024-07-05,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,34,57.0
Seberang Perai Utara,2024-07-04,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,34,57.0
Seberang Perai Utara,2024-07-03,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,34,57.0
Seberang Perai Utara,2024-07-02,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,26,34,37.0
Seberang Perai Tengah,2024-07-08,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,27,34,57.0
Seberang Perai Tengah,2024-07-07,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,27,34,57.0
Seberang Perai Tengah,2024-07-06,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,27,34,57.0
Seberang Perai Tengah,2024-07-05,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,27,34,57.0
Seberang Perai Tengah,2024-07-04,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,27,34,57.0
Seberang Perai Tengah,2024-07-03,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,27,34,57.0
Seberang Perai Tengah,2024-07-02,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,27,34,37.0
Baling,2024-07-08,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,25,34,37.0
Baling,2024-07-07,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,25,34,37.0
Baling,2024-07-06,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,25,34,37.0
Baling,2024-07-05,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,25,34,37.0
Baling,2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,25,34,37.0
Baling,2024-07-03,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,25,34,37.0
Baling,2024-07-02,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,25,34,37.0
Kulim,2024-07-08,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,26,34,37.0
Kulim,2024-07-07,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,26,34,37.0
Kulim,2024-07-06,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,26,34,37.0
Kulim,2024-07-05,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,26,34,37.0
Kulim,2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,37.0
Kulim,2024-07-03,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,26,34,37.0
Kulim,2024-07-02,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,37.0
Seberang Perai Selatan,2024-07-08,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,27,34,57.0
Seberang Perai Selatan,2024-07-07,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,27,34,57.0
Seberang Perai Selatan,2024-07-06,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,27,34,57.0
Seberang Perai Selatan,2024-07-05,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,27,34,57.0
Seberang Perai Selatan,2024-07-04,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,27,34,57.0
Seberang Perai Selatan,2024-07-03,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,27,34,57.0
Seberang Perai Selatan,2024-07-02,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,27,34,87.0
Bandar Baharu,2024-07-08,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,26,34,37.0
Bandar Baharu,2024-07-07,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,26,34,37.0
Bandar Baharu,2024-07-06,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,26,34,37.0
Bandar Baharu,2024-07-05,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,26,34,37.0
Bandar Baharu,2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,37.0
Bandar Baharu,2024-07-03,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,26,34,37.0
Bandar Baharu,2024-07-02,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,26,34,37.0
Kerian,2024-07-08,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,25,34,37.0
Kerian,2024-07-07,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,25,34,37.0
Kerian,2024-07-06,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,25,34,37.0
Kerian,2024-07-05,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,25,34,37.0
Kerian,2024-07-04,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,25,34,37.0
Kerian,2024-07-03,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,25,34,37.0
Kerian,2024-07-02,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,25,34,37.0
"Larut, Matang Dan Selama",2024-07-08,Tiada hujan,Hujan di beberapa tempat,Tiada hujan,Hujan di beberapa tempat,Petang,25,34,37.0
"Larut, Matang Dan Selama",2024-07-07,Tiada hujan,Hujan di beberapa tempat,Tiada hujan,Hujan di beberapa tempat,Petang,25,34,37.0
"Larut, Matang Dan Selama",2024-07-06,Tiada hujan,Hujan di beberapa tempat,Tiada hujan,Hujan di beberapa tempat,Petang,25,34,37.0
"Larut, Matang Dan Selama",2024-07-05,Tiada hujan,Hujan di beberapa tempat,Tiada hujan,Hujan di beberapa tempat,Petang,25,34,37.0
"Larut, Matang Dan Selama",2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,25,34,37.0
"Larut, Matang Dan Selama",2024-07-03,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,25,34,37.0
"Larut, Matang Dan Selama",2024-07-02,Tiada hujan,Hujan di beberapa tempat,Tiada hujan,Hujan di beberapa tempat,Petang,25,34,37.0
Hulu Perak,2024-07-08,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Hulu Perak,2024-07-07,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Hulu Perak,2024-07-06,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Hulu Perak,2024-07-05,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Hulu Perak,2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,34,37.0
Hulu Perak,2024-07-03,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,34,37.0
Hulu Perak,2024-07-02,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Tumpat,2024-07-08,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Tumpat,2024-07-07,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Tumpat,2024-07-06,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Tumpat,2024-07-05,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Tumpat,2024-07-04,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,24,34,87.0
Tumpat,2024-07-03,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Tumpat,2024-07-02,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Malam,24,34,37.0
Pasir Mas,2024-07-08,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Pasir Mas,2024-07-07,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Pasir Mas,2024-07-06,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Pasir Mas,2024-07-05,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Pasir Mas,2024-07-04,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,24,34,87.0
Pasir Mas,2024-07-03,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,34,37.0
Pasir Mas,2024-07-02,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Malam,24,34,37.0
Kota Bharu,2024-07-08,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Kota Bharu,2024-07-07,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Kota Bharu,2024-07-06,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Kota Bharu,2024-07-05,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Kota Bharu,2024-07-04,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,24,34,87.0
Kota Bharu,2024-07-03,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Kota Bharu,2024-07-02,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Malam,24,34,37.0
Jeli,2024-07-08,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,24,34,37.0
Jeli,2024-07-07,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,24,34,37.0
Jeli,2024-07-06,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,24,34,37.0
Jeli,2024-07-05,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,24,34,37.0
Jeli,2024-07-04,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Jeli,2024-07-03,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,24,34,37.0
Jeli,2024-07-02,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,34,37.0
Kuala Kangsar,2024-07-08,Tiada hujan,Hujan di beberapa tempat,Tiada hujan,Hujan di beberapa tempat,Petang,24,34,37.0
Kuala Kangsar,2024-07-07,Tiada hujan,Hujan di beberapa tempat,Tiada hujan,Hujan di beberapa tempat,Petang,24,34,37.0
Kuala Kangsar,2024-07-06,Tiada hujan,Hujan di beberapa tempat,Tiada hujan,Hujan di beberapa tempat,Petang,24,34,37.0
Kuala Kangsar,2024-07-05,Tiada hujan,Hujan di beberapa tempat,Tiada hujan,Hujan di beberapa tempat,Petang,24,34,37.0
Kuala Kangsar,2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,34,37.0
Kuala Kangsar,2024-07-03,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,34,37.0
Kuala Kangsar,2024-07-02,Tiada hujan,Hujan di beberapa tempat,Tiada hujan,Hujan di beberapa tempat,Petang,24,34,37.0
Tanah Merah,2024-07-08,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,24,34,37.0
Tanah Merah,2024-07-07,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,24,34,37.0
Tanah Merah,2024-07-06,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,24,34,37.0
Tanah Merah,2024-07-05,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,24,34,37.0
Tanah Merah,2024-07-04,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Tanah Merah,2024-07-03,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,24,34,37.0
Tanah Merah,2024-07-02,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,34,37.0
Bachok,2024-07-08,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Bachok,2024-07-07,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Bachok,2024-07-06,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Bachok,2024-07-05,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Bachok,2024-07-04,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,24,34,87.0
Bachok,2024-07-03,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,34,37.0
Bachok,2024-07-02,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Malam,24,34,37.0
Manjung,2024-07-08,Hujan di beberapa tempat,Hujan di beberapa tempat,Tiada hujan,Hujan di beberapa tempat,Pagi dan Petang,26,33,56.5
